Op 0:  IFM: 49152  OFM: 262144  Buf: 0  Total: 311296
Op 1:  IFM: 262144  OFM: 65536  Buf: 0  Total: 327680
Op 2:  IFM: 65536  OFM: 65536  Buf: 0  Total: 131072
Op 3:  IFM: 65536  OFM: 24576  Buf: 0  Total: 90112
Op 4:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 5:  IFM: 24576  OFM: 393216  Buf: 0  Total: 417792
Op 6:  IFM: 393216  OFM: 393216  Buf: 24576  Total: 811008
Op 7:  IFM: 393216  OFM: 393216  Buf: 24576  Total: 811008
Op 8:  IFM: 393216  OFM: 393216  Buf: 24576  Total: 811008
Op 9:  IFM: 393216  OFM: 24576  Buf: 24576  Total: 442368
Op 10:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 11:  IFM: 24576  OFM: 49152  Buf: 0  Total: 73728
Op 12:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 13:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 14:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 15:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 16:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 17:  IFM: 24576  OFM: 294912  Buf: 0  Total: 319488
Op 18:  IFM: 294912  OFM: 294912  Buf: 24576  Total: 614400
Op 19:  IFM: 294912  OFM: 294912  Buf: 24576  Total: 614400
Op 20:  IFM: 294912  OFM: 294912  Buf: 24576  Total: 614400
Op 21:  IFM: 294912  OFM: 24576  Buf: 24576  Total: 344064
Op 22:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 23:  IFM: 24576  OFM: 49152  Buf: 0  Total: 73728
Op 24:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 25:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 26:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 27:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 28:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 29:  IFM: 24576  OFM: 294912  Buf: 0  Total: 319488
Op 30:  IFM: 294912  OFM: 294912  Buf: 24576  Total: 614400
Op 31:  IFM: 294912  OFM: 294912  Buf: 24576  Total: 614400
Op 32:  IFM: 294912  OFM: 294912  Buf: 24576  Total: 614400
Op 33:  IFM: 294912  OFM: 24576  Buf: 24576  Total: 344064
Op 34:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 35:  IFM: 24576  OFM: 49152  Buf: 0  Total: 73728
Op 36:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 37:  IFM: 49152  OFM: 12288  Buf: 0  Total: 61440
Op 38:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 39:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 40:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 41:  IFM: 12288  OFM: 49152  Buf: 0  Total: 61440
Op 42:  IFM: 49152  OFM: 49152  Buf: 12288  Total: 110592
Op 43:  IFM: 49152  OFM: 49152  Buf: 12288  Total: 110592
Op 44:  IFM: 49152  OFM: 49152  Buf: 12288  Total: 110592
