Op 0:  IFM: 49152  OFM: 262144  Buf: 0  Total: 311296
Op 1:  IFM: 262144  OFM: 65536  Buf: 0  Total: 327680
Op 2:  IFM: 65536  OFM: 65536  Buf: 0  Total: 131072
Op 3:  IFM: 65536  OFM: 24576  Buf: 0  Total: 90112
Op 4:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 5:  IFM: 24576  OFM: 196608  Buf: 0  Total: 221184
Op 6:  IFM: 196608  OFM: 196608  Buf: 24576  Total: 417792
Op 7:  IFM: 196608  OFM: 196608  Buf: 24576  Total: 417792
Op 8:  IFM: 196608  OFM: 196608  Buf: 24576  Total: 417792
Op 9:  IFM: 196608  OFM: 24576  Buf: 24576  Total: 245760
Op 10:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 11:  IFM: 24576  OFM: 49152  Buf: 0  Total: 73728
Op 12:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 13:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 14:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 15:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 16:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 17:  IFM: 24576  OFM: 147456  Buf: 0  Total: 172032
Op 18:  IFM: 147456  OFM: 147456  Buf: 24576  Total: 319488
Op 19:  IFM: 147456  OFM: 147456  Buf: 24576  Total: 319488
Op 20:  IFM: 147456  OFM: 147456  Buf: 24576  Total: 319488
Op 21:  IFM: 147456  OFM: 24576  Buf: 24576  Total: 196608
Op 22:  IFM: 49152  OFM: 24576  Buf: 0  Total: 73728
Op 23:  IFM: 24576  OFM: 49152  Buf: 0  Total: 73728
Op 24:  IFM: 49152  OFM: 49152  Buf: 0  Total: 98304
Op 25:  IFM: 49152  OFM: 12288  Buf: 0  Total: 61440
Op 26:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 27:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 28:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 29:  IFM: 12288  OFM: 36864  Buf: 0  Total: 49152
Op 30:  IFM: 36864  OFM: 36864  Buf: 12288  Total: 86016
Op 31:  IFM: 36864  OFM: 36864  Buf: 12288  Total: 86016
Op 32:  IFM: 36864  OFM: 36864  Buf: 12288  Total: 86016
Op 33:  IFM: 36864  OFM: 12288  Buf: 12288  Total: 61440
Op 34:  IFM: 24576  OFM: 12288  Buf: 0  Total: 36864
Op 35:  IFM: 12288  OFM: 24576  Buf: 0  Total: 36864
Op 36:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 37:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 38:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 39:  IFM: 24576  OFM: 12288  Buf: 0  Total: 36864
Op 40:  IFM: 12288  OFM: 12288  Buf: 0  Total: 24576
Op 41:  IFM: 12288  OFM: 73728  Buf: 0  Total: 86016
Op 42:  IFM: 73728  OFM: 73728  Buf: 12288  Total: 159744
Op 43:  IFM: 73728  OFM: 73728  Buf: 12288  Total: 159744
Op 44:  IFM: 73728  OFM: 73728  Buf: 12288  Total: 159744
