model,top1_accuracy,top5_accuracy
incept-im100-vm128-dupnas_w0.5_ir128.onnx,62.80%,85.04%
incept-im100-vm256-dupnas_w0.75_ir128.onnx,66.72%,89.04%
incept-im100-vm96-dupnas_w0.75_ir96.onnx,59.68%,84.48%
