Op 0:  IFM: 27648  OFM: 73728  Buf: 0  Total: 101376
Op 1:  IFM: 73728  OFM: 36864  Buf: 0  Total: 110592
Op 2:  IFM: 36864  OFM: 13824  Buf: 0  Total: 50688
Op 3:  IFM: 13824  OFM: 13824  Buf: 36864  Total: 64512
Op 4:  IFM: 36864  OFM: 13824  Buf: 13824  Total: 64512
Op 5:  IFM: 13824  OFM: 13824  Buf: 50688  Total: 78336
Op 6:  IFM: 13824  OFM: 13824  Buf: 50688  Total: 78336
Op 7:  IFM: 13824  OFM: 13824  Buf: 50688  Total: 78336
Op 8:  IFM: 36864  OFM: 13824  Buf: 27648  Total: 78336
Op 9:  IFM: 13824  OFM: 13824  Buf: 64512  Total: 92160
Op 10:  IFM: 13824  OFM: 13824  Buf: 64512  Total: 92160
Op 11:  IFM: 36864  OFM: 40000  Buf: 41472  Total: 118336
Op 12:  IFM: 40000  OFM: 36864  Buf: 41472  Total: 118336
Op 13:  IFM: 36864  OFM: 13824  Buf: 41472  Total: 92160
Op 14:  IFM: 13824  OFM: 13824  Buf: 41472  Total: 69120
Op 15:  IFM: 55296  OFM: 55296  Buf: 0  Total: 110592
Op 16:  IFM: 55296  OFM: 55296  Buf: 0  Total: 110592
Op 17:  IFM: 55296  OFM: 6912  Buf: 0  Total: 62208
Op 18:  IFM: 6912  OFM: 6912  Buf: 55296  Total: 69120
Op 19:  IFM: 55296  OFM: 6912  Buf: 6912  Total: 69120
Op 20:  IFM: 6912  OFM: 6912  Buf: 62208  Total: 76032
Op 21:  IFM: 6912  OFM: 6912  Buf: 62208  Total: 76032
Op 22:  IFM: 6912  OFM: 6912  Buf: 62208  Total: 76032
Op 23:  IFM: 55296  OFM: 6912  Buf: 13824  Total: 76032
Op 24:  IFM: 6912  OFM: 6912  Buf: 69120  Total: 82944
Op 25:  IFM: 6912  OFM: 6912  Buf: 69120  Total: 82944
Op 26:  IFM: 55296  OFM: 60000  Buf: 20736  Total: 136032
Op 27:  IFM: 60000  OFM: 55296  Buf: 20736  Total: 136032
Op 28:  IFM: 55296  OFM: 6912  Buf: 20736  Total: 82944
Op 29:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 30:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 31:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 32:  IFM: 27648  OFM: 6912  Buf: 0  Total: 34560
Op 33:  IFM: 6912  OFM: 6912  Buf: 27648  Total: 41472
Op 34:  IFM: 27648  OFM: 6912  Buf: 6912  Total: 41472
Op 35:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 36:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 37:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 38:  IFM: 27648  OFM: 6912  Buf: 13824  Total: 48384
Op 39:  IFM: 6912  OFM: 6912  Buf: 41472  Total: 55296
Op 40:  IFM: 6912  OFM: 6912  Buf: 41472  Total: 55296
Op 41:  IFM: 27648  OFM: 32448  Buf: 20736  Total: 80832
Op 42:  IFM: 32448  OFM: 27648  Buf: 20736  Total: 80832
Op 43:  IFM: 27648  OFM: 6912  Buf: 20736  Total: 55296
Op 44:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 45:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 46:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 47:  IFM: 27648  OFM: 6912  Buf: 0  Total: 34560
Op 48:  IFM: 6912  OFM: 6912  Buf: 27648  Total: 41472
Op 49:  IFM: 27648  OFM: 6912  Buf: 6912  Total: 41472
Op 50:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 51:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 52:  IFM: 6912  OFM: 6912  Buf: 34560  Total: 48384
Op 53:  IFM: 27648  OFM: 6912  Buf: 13824  Total: 48384
Op 54:  IFM: 6912  OFM: 6912  Buf: 41472  Total: 55296
Op 55:  IFM: 6912  OFM: 6912  Buf: 41472  Total: 55296
Op 56:  IFM: 27648  OFM: 32448  Buf: 20736  Total: 80832
Op 57:  IFM: 32448  OFM: 27648  Buf: 20736  Total: 80832
Op 58:  IFM: 27648  OFM: 6912  Buf: 20736  Total: 55296
Op 59:  IFM: 6912  OFM: 6912  Buf: 20736  Total: 34560
Op 60:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 61:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 62:  IFM: 27648  OFM: 27648  Buf: 0  Total: 55296
Op 63:  IFM: 27648  OFM: 27648  Buf: 27648  Total: 82944
Op 64:  IFM: 27648  OFM: 27648  Buf: 27648  Total: 82944
Op 65:  IFM: 27648  OFM: 27648  Buf: 55296  Total: 110592
Op 66:  IFM: 27648  OFM: 27648  Buf: 55296  Total: 110592
Op 67:  IFM: 27648  OFM: 27648  Buf: 55296  Total: 110592
Op 68:  IFM: 27648  OFM: 27648  Buf: 55296  Total: 110592
Op 69:  IFM: 27648  OFM: 27648  Buf: 82944  Total: 138240
Op 70:  IFM: 27648  OFM: 27648  Buf: 82944  Total: 138240
Op 71:  IFM: 27648  OFM: 32448  Buf: 82944  Total: 143040
Op 72:  IFM: 32448  OFM: 27648  Buf: 82944  Total: 143040
Op 73:  IFM: 27648  OFM: 27648  Buf: 82944  Total: 138240
Op 74:  IFM: 27648  OFM: 27648  Buf: 82944  Total: 138240
Op 75:  IFM: 110592  OFM: 110592  Buf: 0  Total: 221184
Op 76:  IFM: 110592  OFM: 110592  Buf: 0  Total: 221184
Op 77:  IFM: 110592  OFM: 27648  Buf: 0  Total: 138240
Op 78:  IFM: 27648  OFM: 27648  Buf: 110592  Total: 165888
Op 79:  IFM: 110592  OFM: 27648  Buf: 27648  Total: 165888
Op 80:  IFM: 27648  OFM: 27648  Buf: 138240  Total: 193536
Op 81:  IFM: 27648  OFM: 27648  Buf: 138240  Total: 193536
Op 82:  IFM: 27648  OFM: 27648  Buf: 138240  Total: 193536
Op 83:  IFM: 110592  OFM: 27648  Buf: 55296  Total: 193536
Op 84:  IFM: 27648  OFM: 27648  Buf: 165888  Total: 221184
Op 85:  IFM: 27648  OFM: 27648  Buf: 165888  Total: 221184
Op 86:  IFM: 110592  OFM: 129792  Buf: 82944  Total: 323328
Op 87:  IFM: 129792  OFM: 110592  Buf: 82944  Total: 323328
Op 88:  IFM: 110592  OFM: 27648  Buf: 82944  Total: 221184
Op 89:  IFM: 27648  OFM: 27648  Buf: 82944  Total: 138240
Op 90:  IFM: 110592  OFM: 110592  Buf: 0  Total: 221184
Op 91:  IFM: 110592  OFM: 110592  Buf: 0  Total: 221184
Op 92:  IFM: 110592  OFM: 27648  Buf: 0  Total: 138240
Op 93:  IFM: 27648  OFM: 27648  Buf: 110592  Total: 165888
Op 94:  IFM: 110592  OFM: 27648  Buf: 27648  Total: 165888
Op 95:  IFM: 27648  OFM: 27648  Buf: 138240  Total: 193536
Op 96:  IFM: 27648  OFM: 27648  Buf: 138240  Total: 193536
Op 97:  IFM: 27648  OFM: 27648  Buf: 138240  Total: 193536
Op 98:  IFM: 110592  OFM: 27648  Buf: 55296  Total: 193536
Op 99:  IFM: 27648  OFM: 27648  Buf: 165888  Total: 221184
Op 100:  IFM: 27648  OFM: 27648  Buf: 165888  Total: 221184
Op 101:  IFM: 110592  OFM: 129792  Buf: 82944  Total: 323328
Op 102:  IFM: 129792  OFM: 110592  Buf: 82944  Total: 323328
Op 103:  IFM: 110592  OFM: 27648  Buf: 82944  Total: 221184
Op 104:  IFM: 27648  OFM: 27648  Buf: 82944  Total: 138240
Op 105:  IFM: 110592  OFM: 110592  Buf: 0  Total: 221184
