Op 0:  IFM: 12288  OFM: 32768  Buf: 0  Total: 45056
Op 1:  IFM: 32768  OFM: 16384  Buf: 0  Total: 49152
Op 2:  IFM: 16384  OFM: 9216  Buf: 0  Total: 25600
Op 3:  IFM: 9216  OFM: 9216  Buf: 16384  Total: 34816
Op 4:  IFM: 16384  OFM: 9216  Buf: 9216  Total: 34816
Op 5:  IFM: 9216  OFM: 9216  Buf: 25600  Total: 44032
Op 6:  IFM: 9216  OFM: 9216  Buf: 25600  Total: 44032
Op 7:  IFM: 9216  OFM: 9216  Buf: 25600  Total: 44032
Op 8:  IFM: 16384  OFM: 9216  Buf: 18432  Total: 44032
Op 9:  IFM: 9216  OFM: 9216  Buf: 34816  Total: 53248
Op 10:  IFM: 9216  OFM: 9216  Buf: 34816  Total: 53248
Op 11:  IFM: 16384  OFM: 18496  Buf: 27648  Total: 62528
Op 12:  IFM: 18496  OFM: 16384  Buf: 27648  Total: 62528
Op 13:  IFM: 16384  OFM: 9216  Buf: 27648  Total: 53248
Op 14:  IFM: 9216  OFM: 9216  Buf: 27648  Total: 46080
Op 15:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 16:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 17:  IFM: 36864  OFM: 9216  Buf: 0  Total: 46080
Op 18:  IFM: 9216  OFM: 9216  Buf: 36864  Total: 55296
Op 19:  IFM: 36864  OFM: 9216  Buf: 9216  Total: 55296
Op 20:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 21:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 22:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 23:  IFM: 36864  OFM: 9216  Buf: 18432  Total: 64512
Op 24:  IFM: 9216  OFM: 9216  Buf: 55296  Total: 73728
Op 25:  IFM: 9216  OFM: 9216  Buf: 55296  Total: 73728
Op 26:  IFM: 36864  OFM: 41616  Buf: 27648  Total: 106128
Op 27:  IFM: 41616  OFM: 36864  Buf: 27648  Total: 106128
Op 28:  IFM: 36864  OFM: 9216  Buf: 27648  Total: 73728
Op 29:  IFM: 9216  OFM: 9216  Buf: 27648  Total: 46080
Op 30:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 31:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 32:  IFM: 36864  OFM: 9216  Buf: 0  Total: 46080
Op 33:  IFM: 9216  OFM: 9216  Buf: 36864  Total: 55296
Op 34:  IFM: 36864  OFM: 9216  Buf: 9216  Total: 55296
Op 35:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 36:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 37:  IFM: 9216  OFM: 9216  Buf: 46080  Total: 64512
Op 38:  IFM: 36864  OFM: 9216  Buf: 18432  Total: 64512
Op 39:  IFM: 9216  OFM: 9216  Buf: 55296  Total: 73728
Op 40:  IFM: 9216  OFM: 9216  Buf: 55296  Total: 73728
Op 41:  IFM: 36864  OFM: 41616  Buf: 27648  Total: 106128
Op 42:  IFM: 41616  OFM: 36864  Buf: 27648  Total: 106128
Op 43:  IFM: 36864  OFM: 9216  Buf: 27648  Total: 73728
Op 44:  IFM: 9216  OFM: 9216  Buf: 27648  Total: 46080
Op 45:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 46:  IFM: 36864  OFM: 36864  Buf: 0  Total: 73728
Op 47:  IFM: 36864  OFM: 4608  Buf: 0  Total: 41472
Op 48:  IFM: 4608  OFM: 4608  Buf: 36864  Total: 46080
Op 49:  IFM: 36864  OFM: 4608  Buf: 4608  Total: 46080
Op 50:  IFM: 4608  OFM: 4608  Buf: 41472  Total: 50688
Op 51:  IFM: 4608  OFM: 4608  Buf: 41472  Total: 50688
Op 52:  IFM: 4608  OFM: 4608  Buf: 41472  Total: 50688
Op 53:  IFM: 36864  OFM: 4608  Buf: 9216  Total: 50688
Op 54:  IFM: 4608  OFM: 4608  Buf: 46080  Total: 55296
Op 55:  IFM: 4608  OFM: 4608  Buf: 46080  Total: 55296
Op 56:  IFM: 36864  OFM: 41616  Buf: 13824  Total: 92304
Op 57:  IFM: 41616  OFM: 36864  Buf: 13824  Total: 92304
Op 58:  IFM: 36864  OFM: 4608  Buf: 13824  Total: 55296
Op 59:  IFM: 4608  OFM: 4608  Buf: 13824  Total: 23040
Op 60:  IFM: 18432  OFM: 18432  Buf: 0  Total: 36864
Op 61:  IFM: 18432  OFM: 18432  Buf: 0  Total: 36864
Op 62:  IFM: 18432  OFM: 18432  Buf: 0  Total: 36864
Op 63:  IFM: 18432  OFM: 18432  Buf: 18432  Total: 55296
Op 64:  IFM: 18432  OFM: 18432  Buf: 18432  Total: 55296
Op 65:  IFM: 18432  OFM: 18432  Buf: 36864  Total: 73728
