Op 0:  IFM: 12288  OFM: 32768  Buf: 0  Total: 45056
Op 1:  IFM: 32768  OFM: 16384  Buf: 0  Total: 49152
Op 2:  IFM: 16384  OFM: 768  Buf: 0  Total: 17152
Op 3:  IFM: 768  OFM: 768  Buf: 16384  Total: 17920
Op 4:  IFM: 16384  OFM: 768  Buf: 768  Total: 17920
Op 5:  IFM: 768  OFM: 768  Buf: 17152  Total: 18688
Op 6:  IFM: 768  OFM: 768  Buf: 17152  Total: 18688
Op 7:  IFM: 768  OFM: 768  Buf: 17152  Total: 18688
Op 8:  IFM: 16384  OFM: 768  Buf: 1536  Total: 18688
Op 9:  IFM: 768  OFM: 768  Buf: 17920  Total: 19456
Op 10:  IFM: 768  OFM: 768  Buf: 17920  Total: 19456
Op 11:  IFM: 16384  OFM: 18496  Buf: 2304  Total: 37184
Op 12:  IFM: 18496  OFM: 16384  Buf: 2304  Total: 37184
Op 13:  IFM: 16384  OFM: 768  Buf: 2304  Total: 19456
Op 14:  IFM: 768  OFM: 768  Buf: 2304  Total: 3840
Op 15:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 16:  IFM: 3072  OFM: 3072  Buf: 0  Total: 6144
Op 17:  IFM: 3072  OFM: 1536  Buf: 0  Total: 4608
Op 18:  IFM: 1536  OFM: 1536  Buf: 3072  Total: 6144
Op 19:  IFM: 3072  OFM: 1536  Buf: 1536  Total: 6144
Op 20:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 21:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 22:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 23:  IFM: 3072  OFM: 1536  Buf: 3072  Total: 7680
Op 24:  IFM: 1536  OFM: 1536  Buf: 6144  Total: 9216
Op 25:  IFM: 1536  OFM: 1536  Buf: 6144  Total: 9216
Op 26:  IFM: 3072  OFM: 3888  Buf: 4608  Total: 11568
Op 27:  IFM: 3888  OFM: 3072  Buf: 4608  Total: 11568
Op 28:  IFM: 3072  OFM: 1536  Buf: 4608  Total: 9216
Op 29:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 30:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 31:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 32:  IFM: 6144  OFM: 1536  Buf: 0  Total: 7680
Op 33:  IFM: 1536  OFM: 1536  Buf: 6144  Total: 9216
Op 34:  IFM: 6144  OFM: 1536  Buf: 1536  Total: 9216
Op 35:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 36:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 37:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 38:  IFM: 6144  OFM: 1536  Buf: 3072  Total: 10752
Op 39:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 40:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 41:  IFM: 6144  OFM: 7776  Buf: 4608  Total: 18528
Op 42:  IFM: 7776  OFM: 6144  Buf: 4608  Total: 18528
Op 43:  IFM: 6144  OFM: 1536  Buf: 4608  Total: 12288
Op 44:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 45:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 46:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 47:  IFM: 6144  OFM: 1536  Buf: 0  Total: 7680
Op 48:  IFM: 1536  OFM: 1536  Buf: 6144  Total: 9216
Op 49:  IFM: 6144  OFM: 1536  Buf: 1536  Total: 9216
Op 50:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 51:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 52:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 53:  IFM: 6144  OFM: 1536  Buf: 3072  Total: 10752
Op 54:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 55:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 56:  IFM: 6144  OFM: 7776  Buf: 4608  Total: 18528
Op 57:  IFM: 7776  OFM: 6144  Buf: 4608  Total: 18528
Op 58:  IFM: 6144  OFM: 1536  Buf: 4608  Total: 12288
Op 59:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 60:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 61:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 62:  IFM: 6144  OFM: 1536  Buf: 0  Total: 7680
Op 63:  IFM: 1536  OFM: 1536  Buf: 6144  Total: 9216
Op 64:  IFM: 6144  OFM: 1536  Buf: 1536  Total: 9216
Op 65:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 66:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 67:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 68:  IFM: 6144  OFM: 1536  Buf: 3072  Total: 10752
Op 69:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 70:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 71:  IFM: 6144  OFM: 9600  Buf: 4608  Total: 20352
Op 72:  IFM: 9600  OFM: 6144  Buf: 4608  Total: 20352
Op 73:  IFM: 6144  OFM: 1536  Buf: 4608  Total: 12288
Op 74:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 75:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 76:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 77:  IFM: 6144  OFM: 1536  Buf: 0  Total: 7680
Op 78:  IFM: 1536  OFM: 1536  Buf: 6144  Total: 9216
Op 79:  IFM: 6144  OFM: 1536  Buf: 1536  Total: 9216
Op 80:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 81:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 82:  IFM: 1536  OFM: 1536  Buf: 7680  Total: 10752
Op 83:  IFM: 6144  OFM: 1536  Buf: 3072  Total: 10752
Op 84:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 85:  IFM: 1536  OFM: 1536  Buf: 9216  Total: 12288
Op 86:  IFM: 6144  OFM: 9600  Buf: 4608  Total: 20352
Op 87:  IFM: 9600  OFM: 6144  Buf: 4608  Total: 20352
Op 88:  IFM: 6144  OFM: 1536  Buf: 4608  Total: 12288
Op 89:  IFM: 1536  OFM: 1536  Buf: 4608  Total: 7680
Op 90:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 91:  IFM: 6144  OFM: 6144  Buf: 0  Total: 12288
Op 92:  IFM: 6144  OFM: 96  Buf: 0  Total: 6240
Op 93:  IFM: 96  OFM: 96  Buf: 0  Total: 192
Op 94:  IFM: 96  OFM: 100  Buf: 0  Total: 196
  Peak Memory Usage: Op 1 : 49152
  Op which_over_mem_cons: []

