Op 0:  IFM: 27648  OFM: 73728  Buf: 0  Total: 101376
Op 1:  IFM: 73728  OFM: 36864  Buf: 0  Total: 110592
Op 2:  IFM: 36864  OFM: 5184  Buf: 0  Total: 42048
Op 3:  IFM: 5184  OFM: 5184  Buf: 36864  Total: 47232
Op 4:  IFM: 36864  OFM: 5184  Buf: 5184  Total: 47232
Op 5:  IFM: 5184  OFM: 5184  Buf: 42048  Total: 52416
Op 6:  IFM: 5184  OFM: 5184  Buf: 42048  Total: 52416
Op 7:  IFM: 5184  OFM: 5184  Buf: 42048  Total: 52416
Op 8:  IFM: 36864  OFM: 5184  Buf: 10368  Total: 52416
Op 9:  IFM: 5184  OFM: 5184  Buf: 47232  Total: 57600
Op 10:  IFM: 5184  OFM: 5184  Buf: 47232  Total: 57600
Op 11:  IFM: 36864  OFM: 40000  Buf: 15552  Total: 92416
Op 12:  IFM: 40000  OFM: 36864  Buf: 15552  Total: 92416
Op 13:  IFM: 36864  OFM: 5184  Buf: 15552  Total: 57600
Op 14:  IFM: 5184  OFM: 5184  Buf: 15552  Total: 25920
Op 15:  IFM: 20736  OFM: 20736  Buf: 0  Total: 41472
Op 16:  IFM: 20736  OFM: 20736  Buf: 0  Total: 41472
Op 17:  IFM: 20736  OFM: 5184  Buf: 0  Total: 25920
Op 18:  IFM: 5184  OFM: 5184  Buf: 20736  Total: 31104
Op 19:  IFM: 20736  OFM: 5184  Buf: 5184  Total: 31104
Op 20:  IFM: 5184  OFM: 5184  Buf: 25920  Total: 36288
Op 21:  IFM: 5184  OFM: 5184  Buf: 25920  Total: 36288
Op 22:  IFM: 5184  OFM: 5184  Buf: 25920  Total: 36288
Op 23:  IFM: 20736  OFM: 5184  Buf: 10368  Total: 36288
Op 24:  IFM: 5184  OFM: 5184  Buf: 31104  Total: 41472
Op 25:  IFM: 5184  OFM: 5184  Buf: 31104  Total: 41472
Op 26:  IFM: 20736  OFM: 24336  Buf: 15552  Total: 60624
Op 27:  IFM: 24336  OFM: 20736  Buf: 15552  Total: 60624
Op 28:  IFM: 20736  OFM: 5184  Buf: 15552  Total: 41472
Op 29:  IFM: 5184  OFM: 5184  Buf: 15552  Total: 25920
Op 30:  IFM: 20736  OFM: 20736  Buf: 0  Total: 41472
Op 31:  IFM: 20736  OFM: 20736  Buf: 0  Total: 41472
