Op 0:  IFM: 49152  OFM: 131072  Buf: 0  Total: 180224
Op 1:  IFM: 131072  OFM: 65536  Buf: 0  Total: 196608
Op 2:  IFM: 65536  OFM: 36864  Buf: 0  Total: 102400
Op 3:  IFM: 36864  OFM: 36864  Buf: 65536  Total: 139264
Op 4:  IFM: 65536  OFM: 36864  Buf: 36864  Total: 139264
Op 5:  IFM: 36864  OFM: 36864  Buf: 102400  Total: 176128
Op 6:  IFM: 36864  OFM: 36864  Buf: 102400  Total: 176128
Op 7:  IFM: 36864  OFM: 36864  Buf: 102400  Total: 176128
Op 8:  IFM: 65536  OFM: 36864  Buf: 73728  Total: 176128
Op 9:  IFM: 36864  OFM: 36864  Buf: 139264  Total: 212992
Op 10:  IFM: 36864  OFM: 36864  Buf: 139264  Total: 212992
Op 11:  IFM: 65536  OFM: 69696  Buf: 110592  Total: 245824
Op 12:  IFM: 69696  OFM: 65536  Buf: 110592  Total: 245824
Op 13:  IFM: 65536  OFM: 36864  Buf: 110592  Total: 212992
Op 14:  IFM: 36864  OFM: 36864  Buf: 110592  Total: 184320
Op 15:  IFM: 147456  OFM: 147456  Buf: 0  Total: 294912
Op 16:  IFM: 147456  OFM: 147456  Buf: 0  Total: 294912
Op 17:  IFM: 147456  OFM: 36864  Buf: 0  Total: 184320
Op 18:  IFM: 36864  OFM: 36864  Buf: 147456  Total: 221184
Op 19:  IFM: 147456  OFM: 36864  Buf: 36864  Total: 221184
Op 20:  IFM: 36864  OFM: 36864  Buf: 184320  Total: 258048
Op 21:  IFM: 36864  OFM: 36864  Buf: 184320  Total: 258048
Op 22:  IFM: 36864  OFM: 36864  Buf: 184320  Total: 258048
Op 23:  IFM: 147456  OFM: 36864  Buf: 73728  Total: 258048
Op 24:  IFM: 36864  OFM: 36864  Buf: 221184  Total: 294912
Op 25:  IFM: 36864  OFM: 36864  Buf: 221184  Total: 294912
Op 26:  IFM: 147456  OFM: 156816  Buf: 110592  Total: 414864
Op 27:  IFM: 156816  OFM: 147456  Buf: 110592  Total: 414864
Op 28:  IFM: 147456  OFM: 36864  Buf: 110592  Total: 294912
Op 29:  IFM: 36864  OFM: 36864  Buf: 110592  Total: 184320
Op 30:  IFM: 147456  OFM: 147456  Buf: 0  Total: 294912
Op 31:  IFM: 147456  OFM: 147456  Buf: 0  Total: 294912
Op 32:  IFM: 147456  OFM: 18432  Buf: 0  Total: 165888
Op 33:  IFM: 18432  OFM: 18432  Buf: 147456  Total: 184320
Op 34:  IFM: 147456  OFM: 18432  Buf: 18432  Total: 184320
Op 35:  IFM: 18432  OFM: 18432  Buf: 165888  Total: 202752
Op 36:  IFM: 18432  OFM: 18432  Buf: 165888  Total: 202752
Op 37:  IFM: 18432  OFM: 18432  Buf: 165888  Total: 202752
Op 38:  IFM: 147456  OFM: 18432  Buf: 36864  Total: 202752
Op 39:  IFM: 18432  OFM: 18432  Buf: 184320  Total: 221184
Op 40:  IFM: 18432  OFM: 18432  Buf: 184320  Total: 221184
Op 41:  IFM: 147456  OFM: 156816  Buf: 55296  Total: 359568
Op 42:  IFM: 156816  OFM: 147456  Buf: 55296  Total: 359568
Op 43:  IFM: 147456  OFM: 18432  Buf: 55296  Total: 221184
Op 44:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 45:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 46:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 47:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 48:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 49:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 50:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 51:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 52:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 53:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 54:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 55:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 56:  IFM: 73728  OFM: 83232  Buf: 55296  Total: 212256
Op 57:  IFM: 83232  OFM: 73728  Buf: 55296  Total: 212256
Op 58:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 59:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 60:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 61:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 62:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 63:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 64:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 65:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 66:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 67:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 68:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 69:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 70:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 71:  IFM: 73728  OFM: 83232  Buf: 55296  Total: 212256
Op 72:  IFM: 83232  OFM: 73728  Buf: 55296  Total: 212256
Op 73:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 74:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 75:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 76:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 77:  IFM: 73728  OFM: 18432  Buf: 0  Total: 92160
Op 78:  IFM: 18432  OFM: 18432  Buf: 73728  Total: 110592
Op 79:  IFM: 73728  OFM: 18432  Buf: 18432  Total: 110592
Op 80:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 81:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 82:  IFM: 18432  OFM: 18432  Buf: 92160  Total: 129024
Op 83:  IFM: 73728  OFM: 18432  Buf: 36864  Total: 129024
Op 84:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 85:  IFM: 18432  OFM: 18432  Buf: 110592  Total: 147456
Op 86:  IFM: 73728  OFM: 93312  Buf: 55296  Total: 222336
Op 87:  IFM: 93312  OFM: 73728  Buf: 55296  Total: 222336
Op 88:  IFM: 73728  OFM: 18432  Buf: 55296  Total: 147456
Op 89:  IFM: 18432  OFM: 18432  Buf: 55296  Total: 92160
Op 90:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 91:  IFM: 73728  OFM: 73728  Buf: 0  Total: 147456
Op 92:  IFM: 73728  OFM: 288  Buf: 0  Total: 74016
Op 93:  IFM: 288  OFM: 288  Buf: 0  Total: 576
Op 94:  IFM: 288  OFM: 100  Buf: 0  Total: 388
  Peak Memory Usage: Op 26 : 414864
  Op which_over_mem_cons: [26, 27, 41, 42, 15, 16, 24, 25, 28, 30, 31]

